Code,Gender,Age,Birthplace Latitude,Birthplace Longitude,Birthplace,Living Area Latitude,Living Area Longitude,Living Area,Additional
F031,female,25-29,34.8817102,136.5836516,三重県鈴鹿市,39.7021331,141.1545397,岩手県盛岡市,
F032,female,65-69,35.6768601,139.7638947,東京都,35.6768601,139.7638947,東京都,
F033,female,25-29,35.274632,136.870713,愛知県岩倉市,35.274632,136.870713,愛知県岩倉市,
F034,female,30-34,35.1851045,136.8998438,名古屋市,35.273804,137.007459,愛知県春日井市,
F035,female,50-59,35.7867449,137.0460777,岐阜県,35.1851045,136.8998438,名古屋市,
F036,female,30-34,35.1851045,136.8998438,名古屋市,35.1851045,136.8998438,名古屋市,
F037,female,20-24,34.1664995,132.2191163,山口県岩国市,35.1851045,136.8998438,愛知県名古屋市,
F038,female,15-19,33.8829996,130.8749015,福岡県北九州市,35.725913,139.7166365,東京都豊島区,
F039,female,30-34,34.8301826,135.4172191,兵庫県川西市,35.021041,135.7556075,京都市,
F040,female,40-44,35.1851045,136.8998438,愛知県名古屋市,35.1851045,136.8998438,愛知県名古屋市,
F041,female,55-59,35.247154,136.109385,滋賀県,35.4230949,136.7627526,岐阜市,
F042,female,55-59,,,滋賀県坂田郡,35.4230949,136.7627526,岐阜県岐阜市,３１歳から岐阜
F043,female,15-19,35.3609734,136.9845491,愛知県犬山市,35.3609734,136.9845491,愛知県犬山市,
F044,female,90-94,35.4503381,139.6343802,横浜市,35.4503381,139.6343802,横浜市,
F045,female,20-24,35.6530518,139.9018495,千葉県浦安市,35.6530518,139.9018495,千葉県浦安市,
F046,female,15-19,35.8562314,139.9026259,千葉県流山市,35.8562314,139.9026259,千葉県流山市,
F047,female,20-24,40.8222833,140.7472027,青森市,43.061936,141.3542924,札幌市,
F048,female,20-24,26.251076,127.75515002359836,沖縄県宜野湾市 中頭郡,35.1851045,136.8998438,愛知県名古屋市,
F049,female,30-34,33.2393864,131.6096524,大分県大分市,35.5306639,139.7037668,神奈川県川崎市,１０歳以降は神奈川
F050,female,25-29,35.4230949,136.7627526,岐阜県岐阜市,35.4230949,136.7627526,岐阜市,
F051,female,25-29,36.3893418,139.0632826,群馬県前橋市,35.1851045,136.8998438,名古屋市,
F052,female,40-44,35.3329961,137.1319459,岐阜県多治見市,35.1851045,136.8998438,名古屋市,
F053,female,50-54,35.6768601,139.7638947,東京都,37.9163757,139.0365062,新潟市,
F054,female,30-34,43.1906806,140.9946021,北海道小樽市,43.061936,141.3542924,札幌市,
F055,female,50,37.404937,140.333381,福島県郡山市,35.4503381,139.6343802,横浜市,７歳〜３９歳北海道、神奈川県在住
F056,female,20-24,34.9548784,137.1728226,愛知県岡崎市,34.9548784,137.1728226,愛知県岡崎市,
F057,female,30-34,35.1851045,136.8998438,愛知県名古屋市,35.1851045,136.8998438,名古屋市,
F058,female,15-19,,,千葉県習志野市,35.6816753,140.0272065,習志野市,
F059,female,50-54,35.1851045,136.8998438,愛知県名古屋市,35.3609734,136.9845491,愛知県犬山市,
F060,female,21,34.769123,137.391461,愛知県豊橋市,34.769123,137.391461,愛知県豊橋市,
F061,female,25-29,35.1851045,136.8998438,愛知県名古屋市,35.1851045,136.8998438,愛知県名古屋市,
F062,female,20-24,35.7746029,139.8045163,東京都足立区,35.7746029,139.8045163,東京都足立区,
F063,female,25-29,35.3388615,139.4909335,神奈川県藤沢市,43.061936,141.3542924,札幌市,３歳〜２０歳：千葉
F064,female,20-24,40.8222833,140.7472027,青森県青森市,43.061936,141.3542924,札幌市,
F065,female,50-54,35.021041,135.7556075,京都市,35.4503381,139.6343802,横浜市,
F066,female,60-64,31.521587,130.5474077,鹿児島県,35.6580089,139.7515137,東京都港区,東京に４０年居住
F067,female,35-39,34.885124,135.7995651,京都府宇治市,35.1851045,136.8998438,愛知県名古屋市,
F068,female,90-94,35.6768601,139.7638947,東京都,35.4503381,139.6343802,横浜市,
F069,female,21,34.5868422,136.5412491,三重県松坂市,35.1851045,136.8998438,名古屋市,４歳から愛知
F070,female,65-69,35.5513986,139.3205116,神奈川県葉山,35.4503381,139.6343802,横浜市,
F071,female,35-39,35.6768601,139.7638947,東京都,35.1851045,136.8998438,名古屋市,
F072,female,20-24,35.1738739,138.9068006,静岡県裾野市,35.725913,139.7166365,東京都豊島区,
F073,female,15-19,35.4230949,136.7627526,岐阜市,35.4230949,136.7627526,岐阜市,
F074,female,28,35.3388615,139.4909335,神奈川県藤沢市,35.3388615,139.4909335,神奈川県藤沢市,
F075,female,45-49,35.1851045,136.8998438,愛知県名古屋市,35.1851045,136.8998438,名古屋市,
F076,female,10-14,35.1851045,136.8998438,名古屋市,35.1851045,136.8998438,名古屋市,
F077,female,45-49,37.9163757,139.0365062,新潟市,37.9163757,139.0365062,新潟市,
F078,female,25-29,34.8743067,134.512583,兵庫県龍野市,35.1851045,136.8998438,名古屋市,
F079,female,75-79,,,山梨県北巨摩郡,,,山梨県北巨摩郡,
F080,female,65-69,35.6768601,139.7638947,東京都,35.8676218,139.9756876,千葉県柏市,
F081,female,30-34,,,大阪府岸和田市,35.1851045,136.8998438,愛知県名古屋市,
